PHIX,MBVI,MPHI,Swirr_PHIX
0.4091597,0.07263,0.34985,0.1775101506819953
0.4077777,0.07534,0.34258,0.18475752842786647
0.3996634,0.08085,0.33457,0.20229523143725447
0.399569,0.08386,0.33082,0.20987614154251205
0.4059348,0.08654,0.33241,0.21318694529269236
0.4056081,0.087045,0.333765,0.2146037024408536
0.4050009,0.08755,0.33512,0.21617235912315258
0.3969135,0.08371,0.34006,0.2109023754546016
0.3980139,0.07467,0.34362,0.18760651323986424
0.4071641,0.06718,0.34508,0.16499490009065143
0.414026,0.06549,0.34458,0.1581784718834083
0.4254961,0.0648,0.343995,0.15229281772500383
0.4240526,0.06411,0.34341,0.1511840748058142
0.4076805,0.06635,0.34878,0.16274999662726083
0.386351,0.08423,0.36368,0.21801418916995166
0.3926998,0.11007,0.37809,0.2802904406877722
0.3819438,0.13167,0.37971,0.34473658166463234
0.3811091,0.1347,0.376185,0.35344209833876966
0.3528323,0.13773,0.37266,0.39035541814057273
0.3517616,0.13203,0.36193,0.3753394344351402
0.3722139,0.12633,0.3511,0.33940161826304716
0.3654723,0.11533,0.34589,0.3155642712183659
0.3917557,0.10024,0.34478,0.2558737498905568
0.3816315,0.09335,0.34349,0.24460769092698062
0.3752864,0.08646,0.3422,0.2303840480230565
0.3741038,0.08374,0.34257,0.22384161828882784
0.3689802,0.09836,0.3481,0.2665725694766278
0.3923444,0.11532,0.35497,0.29392543897657264
0.3943049,0.13229,0.35607,0.3355017906193912
0.3966542,0.136075,0.35325,0.3430570002788323
0.393545,0.13986,0.35043,0.35538502585473075
0.3927188,0.12628,0.34543,0.3215532335095748
0.3891362,0.09906,0.34237,0.2545638262387308
0.38388,0.08038,0.34267,0.20938835052620608
0.3809607,0.08029,0.35047,0.210756647601708
0.365778,0.08375,0.355455,0.22896401642526343
0.390531,0.08721,0.36044,0.22331133764028974
0.3918817,0.09072,0.36762,0.23149843434893744
0.381311,0.09086,0.3714,0.23828318616562333
0.3730505,0.09395,0.36778,0.25184257895378775
0.3800557,0.10445,0.36454,0.274828137033598
0.3912678,0.10966,0.36524,0.28026839929071595
0.3941778,0.11487,0.36594,0.29141671600988184
0.395552,0.12307,0.3721,0.31113481918938596
0.3934003,0.13042,0.37296,0.3315198285308883
0.3937575,0.13515,0.36661,0.34323155749414297
0.4029074,0.12566,0.36036,0.311883077848657
0.4043792,0.117585,0.36122,0.29077905095019724
0.3871759,0.10951,0.36208,0.2828430178634569
0.3870113,0.0987,0.36893,0.25503131303918
0.3876483,0.09184,0.37938,0.2369157816505322
0.4048315,0.08845,0.39077,0.21848596267829948
0.4052624,0.09184,0.40006,0.22661860562440533
0.4059107,0.093205,0.40272,0.2296194704894451
0.3956697,0.09457,0.40538,0.2390124894577472
0.3871785,0.09343,0.40487,0.24130988678348617
0.4056385,0.09643,0.40154,0.2377239833004017
0.4102923,0.10487,0.39742,0.25559826494428484
0.410759,0.11251,0.39139,0.27390757110617175
0.411275,0.115115,0.38523,0.2798978785484165
0.4076601,0.11772,0.37907,0.2887699826399493
0.4063135,0.12535,0.36544,0.3085056243516398
0.4016973,0.13883,0.35587,0.3456084967461818
0.4044156,0.15512,0.34899,0.38356581694672515
0.3912999,0.17428,0.34196,0.445387284791026
0.3841413,0.185265,0.34071,0.4822834722535692
0.3779627,0.19625,0.33946,0.5192311304792775
0.381962,0.21511,0.34377,0.5631712055125903
0.3816796,0.23395,0.35342,0.6129486616523387
0.3815183,0.25161,0.3639,0.6594965431540244
0.3816055,0.25546,0.36766,0.669434795882135
0.3845407,0.249975,0.366825,0.6500612288894257
0.3847005,0.24449,0.36599,0.6355333564682136
0.38498,0.21775,0.36161,0.5656137981193828
0.389469,0.18497,0.35335,0.4749286849531028
0.3964886,0.16439,0.34312,0.4146146951009436
0.4047778,0.15588,0.33754,0.38510017100740207
0.3867422,0.15498,0.338825,0.40073206389165705
0.3864552,0.15408,0.34011,0.3987008067170528
0.3843762,0.15564,0.34874,0.40491580904332786
0.3884193,0.15809,0.35692,0.4070086115700224
0.3886193,0.1687,0.3638,0.4341009311683696
0.3927689,0.17488,0.36048,0.4452491019528278
0.3895441,0.17268,0.355915,0.44328742239967184
0.3820591,0.17048,0.35135,0.4462136878823198
0.3819389,0.16287,0.34455,0.42642946293242184
0.3904245,0.14912,0.34106,0.3819432438281921
0.3764815,0.13341,0.33737,0.35436004159566936
0.3505965,0.12191,0.3343,0.3477216686418718
0.3548408,0.11882,0.334215,0.3348543910395873
0.3558308,0.11573,0.33413,0.3252388494756497
0.3666304,0.11141,0.33393,0.3038755105959571
0.3656801,0.11031,0.33234,0.30165710411914676
0.383354,0.11323,0.33185,0.2953666845787445
0.3917015,0.11804,0.33367,0.3013519223183981
0.3917893,0.12219,0.33154,0.31187681746285567
0.3688978,0.12634,0.32941,0.3424796786535458
0.3695022,0.13354,0.32005,0.36140515536849305
0.3696565,0.13576,0.31374,0.3672598750461577
0.391211,0.14141,0.31111,0.3614673411534952
0.3752318,0.15335,0.30912,0.40868071416121976
0.3806985,0.158515,0.30691,0.41637936582361107
0.35028,0.16368,0.3047,0.4672833162041795
0.3687628,0.16213,0.30225,0.43965931487666327
0.373101,0.15777,0.3102,0.42286136997756635
0.3803327,0.15569,0.31955,0.40935212775551505
0.391393,0.14733,0.32246,0.3764247188886873
0.3934341,0.140755,0.322905,0.3577600416435687
0.3908054,0.13418,0.32335,0.343342236315056
0.3804919,0.12519,0.32591,0.32902145880109407
0.3484437,0.12301,0.33429,0.35302690219395555
0.3537138,0.12607,0.34604,0.35641809847396394
0.3809115,0.12631,0.35689,0.33159933475361075
0.3917668,0.119665,0.35754,0.3054495684677721
0.3902114,0.11302,0.35819,0.28963787321436535
0.3793609,0.09385,0.34737,0.2473897547164191
0.3774254,0.08618,0.33813,0.22833651365276422
0.382881,0.08765,0.33871,0.2289223022296745
0.3615572,0.09299,0.34574,0.25719305271752296
0.3502092,0.10043,0.35137,0.2867714497506062
0.3520164,0.10787,0.357,0.3064345865703984
0.3612166,0.11992,0.366,0.3319891721476809
0.3633024,0.12464,0.36844,0.34307508015361304
0.363868,0.13937,0.36523,0.3830235140215682
0.356185,0.16878,0.35303,0.4738548787849012
0.3644678,0.177155,0.33956,0.48606488693925776
0.3645207,0.18553,0.32609,0.508969723804437
0.3648003,0.1919,0.30075,0.5260412340669676
0.3489955,0.20434,0.29031,0.5855089822075069
0.3381928,0.21619,0.28766,0.6392507469112293
0.3346387,0.22597,0.28658,0.6752655924135493
0.3345701,0.239515,0.29096,0.7158888376456832
0.3465632,0.25306,0.29534,0.7301987054597834
0.3456088,0.27891,0.3098,0.8070107011164067
0.3366979,0.27572,0.31401,0.8188943263382398
0.3480185,0.25343,0.30609,0.7282084142078653
0.336028,0.2421,0.30527,0.7204756746461605
0.3336335,0.240985,0.31176,0.722304564739452
0.331557,0.23987,0.31825,0.7234653468332746
0.3414709,0.24472,0.3391,0.7166642896949637
0.3645603,0.24326,0.34515,0.667269584757309
0.3667471,0.23053,0.33189,0.6285802941591087
0.381035,0.21829,0.31877,0.5728870051307623
0.3798149,0.216615,0.316605,0.5703172782321072
0.3696445,0.21494,0.31444,0.5814776088917866
0.3543627,0.22568,0.31624,0.6368616109991261
0.3415672,0.24422,0.31773,0.7149983956304937
0.3351172,0.25782,0.31686,0.769342785150986
0.3526617,0.27195,0.3163,0.7711356237436614
0.3570259,0.277515,0.315695,0.7772965490738908
0.3628142,0.28308,0.31509,0.7802340702210664
0.3533505,0.28474,0.30826,0.8058287734133671
0.3386569,0.28291,0.29952,0.8353882646418839
0.3352304,0.28421,0.29639,0.8478049723414106
0.3374619,0.29442,0.3142,0.8724540459234066
0.3404808,0.306105,0.32971,0.8990374787653226
0.351757,0.31779,0.34522,0.9034361789530841
0.3646711,0.32476,0.36283,0.8905559009200344
0.382809,0.30106,0.3637,0.7864496393762946
0.3821227,0.26439,0.36498,0.6918981782553092
0.3811217,0.23359,0.37714,0.6129013383389085
0.3808279,0.22041,0.38268,0.5787653688188287
0.3745541,0.20723,0.38822,0.5532712096863978
0.3687439,0.18716,0.39324,0.5075609386351883
0.3660257,0.18748,0.39097,0.5122044708882464
0.3500146,0.18291,0.38771,0.5225782010236144
0.3653935,0.16225,0.38607,0.4440418343511858
0.3830984,0.147255,0.38324,0.3843790524836439
0.3828701,0.13226,0.38041,0.3454435329371502
0.3804201,0.09913,0.36351,0.26058034262648055
0.3695991,0.08571,0.34962,0.23189991534070292
0.3831336,0.09953,0.34649,0.2597788343282865
0.3941878,0.10744,0.34975,0.2725604394656557
0.3849706,0.10023,0.351855,0.26035754418649115
